sentences,words,OOV,logprob,ppl,ppl1
69,535,30,-1208.59,127.515,247.315
95,481,22,-1116.88,103.758,271.194
48,471,3,-1034.05,100.917,161.995
88,439,14,-1188.51,207.386,625.878
79,468,7,-944.992,56.2322,112.169
94,595,37,-1051.8,41.0389,76.7277
60,369,1,-692.479,41.4899,76.1618
54,524,0,-533.941,8.3902,10.4465
113,639,1,-892.968,15.4539,25.0979
50,257,1,-562.566,68.9369,157.589
78,465,2,-930.995,52.587,102.515
19,272,19,-669.805,290.079,444.067
39,213,0,-501.222,97.4937,225.505
21,118,0,-285.743,113.686,263.969
55,463,9,-1132.2,167.633,311.767
80,291,25,-844.32,275.57,1493.27
42,308,3,-678.605,90.2891,167.856
49,379,7,-933.199,164.674,322.552
7,737,57,-1803.92,422.474,449.604
58,493,27,-1279.01,275.966,555.459
45,251,23,-642.035,224.79,654.552
124,653,13,-927.406,16.3637,28.1236
56,421,2,-931.979,91.6348,167.607
61,555,1,-1295.98,128.021,218.43
57,373,8,-820.232,87.8371,176.69
59,452,0,-508.658,9.89504,13.346
58,371,6,-786.568,72.3601,142.883
40,377,0,-406.778,9.45121,11.9946
61,468,18,-1032.15,104.68,196.637
86,697,8,-1445.97,73.4114,125.5
88,524,60,-1106.26,100.948,242.206
140,560,13,-1491.96,148.491,533.984
67,574,6,-1344.47,131,232.82
45,305,0,-571.22,42.8605,74.6195
64,632,0,-971.078,24.8443,34.3966
15,104,5,-256.994,179.611,394.364
44,459,1,-972.684,86.62,132.974
30,136,5,-338.083,125.862,380.877
72,379,15,-812.356,72.9798,170.509
106,633,2,-887.981,16.0272,25.5423
35,193,3,-403.644,62.226,133.181
9,333,26,-763.5,260.698,306.88
53,511,10,-1333.13,254.902,458.079
95,572,4,-1054.53,38.9527,71.872
72,613,40,-1486.27,201.508,392.497
54,524,0,-533.941,8.3902,10.4465
40,412,15,-1071.26,282.751,499.341
6,33,0,-81.1581,120.497,287.962
80,431,11,-1009.46,104.453,253.208
115,546,40,-1423.31,195.867,649.922
88,716,0,-1146.13,26.6401,39.8788
55,401,29,-662.906,35.6839,60.5348
40,377,0,-406.778,9.45121,11.9946
64,309,7,-725.155,95.7853,251.87
71,427,4,-1078.87,152.735,355.23
18,122,3,-257.901,76.2941,146.973
55,421,19,-979.398,139.028,273.095
45,144,4,-476.162,374.844,2518.6
60,377,4,-918.763,132.39,290.517
36,316,1,-859.754,281.476,536.263
88,495,4,-1140.37,93.2305,210.162
3,36,2,-81.7631,162.111,253.979
87,690,21,-1669.98,161.794,313.492
106,646,5,-909.382,16.496,26.2236
87,475,0,-631.575,13.2984,21.3615
76,643,2,-1661.1,207.368,390.325
31,212,9,-477.017,109.278,223.788
64,632,0,-971.078,24.8443,34.3966
5,58,4,-151.404,368.277,636.479
105,644,27,-1229.72,50.4901,98.4136
50,287,5,-660.089,97.3237,219.149
53,549,1,-1190.07,95.5331,148.479
21,21,1,-129.163,1413.55,2.87169e+06
70,539,0,-581.773,9.02177,12.0048
79,767,0,-1194.14,25.7939,36.0497
87,475,0,-631.575,13.2984,21.3615
40,377,0,-406.778,9.45121,11.9946
79,767,0,-1194.14,25.7939,36.0497
152,612,1,-1448.54,79.155,234.837
44,249,5,-532.174,70.4409,151.719
81,363,24,-918.451,153.741,512.031
23,204,13,-467.825,153.496,281.414
55,251,6,-598.281,98.6896,276.672
134,645,21,-1699.19,174.451,528.517
91,637,0,-704.902,9.2955,12.782
112,713,6,-1462.44,61.0437,117.089
46,391,29,-1029.38,333.42,697.577
70,539,0,-581.773,9.02177,12.0048
134,610,40,-1516.34,142.526,457.348
60,662,2,-1424.77,95.2474,144.128
5,52,6,-133.141,407.943,784.079
58,483,3,-1063.89,94.9496,164.604
71,533,0,-795.527,20.7538,31.0847
109,670,32,-1788.11,247.586,634.871
40,377,0,-406.778,9.45121,11.9946
51,427,9,-911.81,87.9344,151.833
6,44,4,-98.857,140.95,296.09
91,637,0,-704.902,9.2955,12.782
52,531,4,-1111.45,83.101,128.534
51,371,12,-645.682,37.5693,62.8863
81,472,12,-1274.12,226.524,588.597
47,364,19,-838.777,137.955,269.921
47,294,13,-679.731,118.128,262.405
71,432,2,-1025.01,111.156,241.963
91,637,0,-704.902,9.2955,12.782
82,459,28,-1363.23,454.334,1455.31
43,318,12,-751.304,142.145,285.26
88,716,0,-1146.13,26.6401,39.8788
68,534,7,-1197.46,102.929,187.163
59,391,0,-884.308,92.2844,182.666
58,625,3,-1164.06,51.5053,74.3837
45,294,4,-708.112,129.947,276.545
34,208,5,-581.546,284.302,732.415
23,243,0,-379.395,26.6868,36.4163
27,257,4,-698.161,311.48,574.815
25,203,0,-289.297,18.5714,26.6138
40,209,3,-527.952,140.006,365.489
32,283,0,-741.32,225.629,416.394
25,203,0,-289.297,18.5714,26.6138
32,233,16,-561.755,180.32,387.911
23,243,0,-379.395,26.6868,36.4163
33,262,3,-611.654,124.367,229.932
21,173,0,-363.591,74.848,126.381
19,222,4,-551.885,213.123,340.083
35,246,5,-640.915,209.969,456.455
31,285,1,-688.482,153.34,265.602
43,286,7,-666.355,117.335,244.552
35,314,6,-732.451,136.592,238.829
20,168,4,-343.886,73.9509,124.987
38,291,1,-693.009,129.668,245.295
37,280,1,-697.59,161.274,316.463
46,285,7,-651.555,102.558,220.659
41,289,4,-761.22,216.287,468.757
26,264,16,-669.714,278.106,501.716
28,198,4,-483.815,151.129,311.812
21,139,0,-334.147,122.579,253.474
21,146,2,-392.004,237.563,527.53
15,116,0,-233.984,61.1139,104.017
33,392,5,-912.728,148.992,228.281
23,177,2,-470.395,237.537,487.494
28,193,7,-452.825,130.619,271.985
28,255,8,-444.795,41.4417,63.2107
26,256,6,-500.995,65.343,100.921
29,242,18,-641.656,343.709,732.044
27,199,0,-471.857,122.423,235.039
21,133,1,-283.7,71.4905,141.008
32,205,3,-442.367,77.7061,154.858
21,128,2,-298.983,108.118,235.982
25,172,0,-422.94,140.25,287.71
20,205,2,-498.745,172.395,286.333
23,206,3,-361.7,39.8511,60.5022
22,173,0,-363.758,73.3546,126.663
31,280,1,-612.367,94.4885,156.627
33,219,0,-530.019,126.838,263.135
31,230,2,-512.362,95.1115,176.686
57,430,8,-1080.96,180.594,364.349
15,116,0,-233.984,61.1139,104.017
33,263,9,-770.011,481.91,1075.33
28,168,1,-369.62,78.6118,163.416
36,192,4,-516.007,201.188,555.544
35,246,2,-603.829,145.969,298.338
27,186,1,-444.263,124.618,252.013
42,216,5,-632.592,316.493,995.558
26,187,3,-450.049,139.024,279.202
45,376,11,-945.734,202.613,389.988
35,235,0,-560.962,119.574,243.822
37,248,10,-628.097,192.305,435.576
21,139,7,-290.98,79.7683,160.101
27,224,0,-502.342,100.314,174.822
25,244,3,-576.676,147.215,247.084
41,288,11,-726.934,193.178,421.029
17,155,2,-350.731,115.645,196.048
24,233,15,-613.417,342.594,651.385
32,175,0,-477.997,203.782,538.783
32,195,2,-492.021,153.731,354.269
38,335,3,-824.137,168.81,303.627
28,261,7,-700.82,305.618,574.296
39,256,2,-577.185,93.3068,187.232
32,187,0,-442.696,105.061,233
40,312,20,-807.053,269.701,580.604
33,193,2,-433.386,86.0513,185.795
31,253,1,-602.826,134.935,246.698
33,240,5,-575.607,140.536,281.444
19,158,4,-400.679,207.045,399.773
44,302,4,-789.607,203.606,446.361
23,196,4,-533.172,301.906,598.329
32,231,4,-583.918,179.684,373.53
71,513,22,-1450.08,380.374,898.084
73,572,7,-1129.4,58.9143,99.7561
51,503,13,-1293.5,245.999,436.301
114,654,20,-1932.27,383.05,1116.23
115,732,71,-1842.03,236.455,611.97
59,572,39,-1452.99,284.693,532.183
82,606,0,-1063.23,35.1069,56.8205
98,688,0,-791.122,10.1512,14.1217
104,798,47,-2386.58,618.478,1506.16
66,316,35,-777.522,174.06,584.767
60,460,0,-1188.99,193.432,384.388
37,250,2,-607.047,134.893,280.395
66,546,21,-1559.25,434.83,933.242
61,440,39,-1188.51,373.713,920.177
74,578,17,-1366.72,142.006,273.032
140,433,9,-1096.68,87.9965,385.927
111,597,46,-1350,109.464,281.894
21,122,0,-155.056,12.1424,18.6615
90,561,41,-1355.42,166.723,404.178
98,688,0,-791.122,10.1512,14.1217
73,563,42,-1451.77,278.012,611.665
59,450,55,-1184.05,405.554,994.5
85,697,27,-1798.12,240.778,482.794
92,682,47,-2085.38,738.713,1923.38
1,3,0,-12.4967,1330.99,14640.9
1,6,0,-10.9264,36.384,66.2311
1,4,1,-5.80889,28.3284,86.3567
1,6,0,-10.9251,36.3687,66.1987
1,4,0,-7.02452,25.4041,57.0334
1,6,0,-10.9264,36.3838,66.2308
1,4,1,-5.80889,28.3284,86.3567
1,6,0,-10.9322,36.4539,66.3796
1,6,0,-19.7424,661.224,1951.67
1,9,0,-30.5813,1143.21,2499.87
1,9,0,-21.1427,130.097,223.453
1,6,2,-11.8803,237.722,933.44
1,9,0,-27.9691,626.482,1281.37
1,8,0,-22.839,344.88,715.94
1,7,1,-18.4569,433.209,1191.65
1,6,1,-11.1517,72.2141,169.96
1,7,0,-22.7062,689.092,1752.85
1,6,2,-11.3747,188.338,697.708
1,9,0,-13.6797,23.3331,33.1108
1,7,0,-20.2763,342.4,788.151
1,8,0,-21.7632,261.897,525.288
1,3,0,-15.7808,8814.69,182086
1,3,0,-9.4835,234.896,1449.33
1,6,0,-10.9264,36.384,66.2311
1,4,1,-5.80889,28.3284,86.3567
1,6,0,-10.9251,36.3687,66.1987
1,4,0,-7.02452,25.4041,57.0334
1,6,0,-10.9264,36.3838,66.2308
1,4,1,-5.80889,28.3284,86.3567
1,6,0,-10.9322,36.4539,66.3796
1,10,0,-25.98,230.047,396.277
1,6,0,-17.3991,305.903,794.049
1,4,1,-10.6254,453.251,3481.65
1,10,0,-30.906,645.11,1231.96
1,5,0,-17.8382,939.793,3695.2
1,6,2,-17.5808,3282.16,24842.7
1,3,0,-13.3718,2202.64,28658.7
1,9,0,-21.9003,154.891,271.246
1,8,0,-25.448,672.28,1517.03
1,7,0,-25.538,1556.88,4449.3
1,10,1,-22.1411,163.723,288.484
1,8,1,-14.6201,67.2213,122.625
1,8,1,-19.693,289.481,650.548
1,9,2,-15.9957,99.8767,192.798
1,5,1,-16.4761,1973.41,13152.9
1,6,2,-12.3123,290.036,1196.92
1,7,0,-21.4645,482.016,1165.08
1,1,1,-1.09591,12.4713,undefined
1,6,2,-11.7343,222.259,858.171
1,1,1,-1.09591,12.4713,undefined
1,8,1,-19.1589,248.238,545.748
1,7,0,-20.8068,398.882,938.412
1,6,1,-13.1549,155.768,427.538
1,5,0,-18.7458,1331.38,5612.6
1,2,0,-5.5538,71.0013,598.273
1,4,1,-5.81604,28.4453,86.8323
1,5,0,-6.37301,11.539,18.8193
1,4,0,-7.0246,25.405,57.036
1,4,1,-5.81614,28.4469,86.8386
1,6,0,-7.57766,12.0927,18.3208
102,494,33,-1210.44,141.247,422.356
75,597,47,-1595.83,357.539,797.085
90,746,13,-2035.21,297.111,597.794
68,547,24,-1475.39,313.634,662.225
86,715,9,-1315.76,45.8475,73.0611
98,688,0,-791.122,10.1512,14.1217
82,606,0,-1063.23,35.1069,56.8205
100,628,18,-1216.89,51.7531,98.8347
91,575,0,-994.627,31.1483,53.6768
86,519,223,-1054.97,577.697,3665.1
115,624,13,-1860.63,365.471,1109.74
2,175,22,-412.047,455.375,493.309
41,350,8,-864.138,180.4,336.295
37,333,24,-907.269,418.953,863.269
71,660,17,-1135.46,38.9292,58.3276
53,640,66,-1459.43,212.64,348.792
73,651,4,-1373.21,80.7669,132.563
91,575,0,-994.627,31.1483,53.6768
59,471,10,-1224.46,226.328,453.007
80,644,11,-1897.47,458.406,994.454
106,550,29,-1532.82,278.413,875.131
58,253,5,-621.27,107.224,319.978
58,406,16,-1194.51,463.791,1155.72
91,560,19,-1509.88,244.934,617.881
21,122,0,-155.056,12.1424,18.6615
81,685,16,-1623.99,146.323,267.597
72,582,43,-1340.91,156.536,307.449
81,646,41,-2002.95,831.28,2044.82
76,694,15,-1729.06,195.047,351.944
75,521,36,-1429.25,356.635,884.906
83,531,14,-1361.36,185.752,429.727
94,614,47,-1574.14,240.687,597.395
59,382,22,-957.164,192.486,455.814
76,607,12,-1738.17,389.426,834.262
51,400,8,-958.633,145.867,278.928
44,427,22,-1158.41,380.175,724.899
45,355,0,-791.991,95.4945,170.201
55,468,22,-1268.4,340.207,698.158
84,639,4,-1357.25,77.2123,137.213
54,504,20,-1353.6,328.082,626.168
112,880,0,-2095.82,129.636,240.779
50,368,7,-1004.67,278.257,606.754
62,536,10,-1483,332.743,659.77
68,547,24,-1398.32,232.287,471.687
61,563,23,-1450.11,258.721,484.61
75,504,28,-1459.19,444.897,1162.86
82,773,22,-1913.67,198.3,353.314
62,585,18,-1430.55,188.074,333.441
86,654,23,-1640.23,193.925,397.576
58,332,5,-762.267,95.4804,214.334
56,472,14,-1283.87,314.63,635.636
70,627,9,-1592.35,206.285,377.246
63,537,15,-1309.52,173.181,322.6
50,394,11,-1045.27,259.428,535.996
35,384,11,-989.935,266.877,450.797
35,237,22,-684.568,547.361,1527.7
11,76,1,-236.566,563.335,1426.31
66,432,28,-1198.29,354.443,924.819
68,595,16,-1511.83,217.111,408.424
103,759,21,-2085.52,301.866,669.751
62,564,32,-1432.92,258.413,493.685
76,557,21,-1441.36,226.547,488.764
81,643,22,-1731.03,292.314,613.03
72,749,17,-2008.95,315.282,555.229
73,542,20,-1582.95,457.524,1077.62
58,402,17,-1059.13,245.935,563.633
84,838,35,-2240.11,335.348,616.143
85,638,5,-1350.66,76.058,136.065
52,418,9,-933.371,105.844,191.461
17,147,10,-415.064,495.703,1070.69
25,209,1,-346.522,30.7055,46.3414
32,331,18,-910.235,434.874,809.282
29,231,12,-664.291,477.083,1079.68
66,390,17,-1030.23,222.215,578.123
40,443,30,-1087.99,252.193,430.871
70,457,4,-1016.19,87.6997,175.082
53,448,37,-1228.56,444.392,975.451
67,637,26,-1692.75,313.816,589.456
98,647,5,-1669.69,180.44,398.801
95,804,18,-2160.9,283.649,561.355
64,511,19,-1365.99,286.295,597.584
60,435,11,-1180.54,274.873,608.544
73,639,39,-1718.69,357.905,731.94
38,320,24,-795.801,241.345,488.109
74,692,21,-1918.64,376.149,723.401
71,689,37,-1796.56,305.4,569.456
78,640,14,-1667.58,233.732,461.172
86,672,30,-1888.28,392.455,873.464
49,312,12,-886.002,345.691,898.132
60,609,5,-1485.77,172.825,288.327
47,375,0,-647.279,34.1852,53.2204
35,189,0,-339.53,32.7913,62.5828
46,240,12,-576.872,127.46,338.954
74,481,0,-830.626,31.3778,53.3178
86,586,0,-640.656,8.98167,12.3957
59,438,0,-721.067,28.2384,44.2866
45,350,1,-894.052,185.852,364.547
121,712,0,-846.502,10.3803,15.4492
51,266,19,-712.234,245.497,764.78
75,417,7,-943.412,88.1412,199.988
70,399,6,-906.802,90.8941,202.948
107,665,0,-1337.13,53.9554,102.5
54,248,0,-413.229,23.351,46.3707
32,173,24,-527.338,819.352,3460.85
70,348,0,-502.587,15.9354,27.811
30,208,17,-522.15,230.498,541.71
58,503,0,-518.258,8.39096,10.7234
26,116,22,-359.261,985.927,6636.35
39,322,7,-692.577,90.4548,158
64,275,3,-719.342,138.324,441.203
29,160,39,-454.552,1072.37,5709.88
45,250,13,-582.403,116.214,286.678
35,256,1,-574.111,95.4317,178.408
35,195,0,-255.158,12.8642,20.3471
56,516,33,-1357.33,329.783,645.948
56,329,70,-914.515,800.243,3395.82
59,308,41,-647.053,96.5662,265.106
29,218,8,-455.327,80.3773,147.307
100,494,0,-785.509,21.009,38.9133
43,327,0,-275.787,5.5638,6.97247
48,281,0,-454.408,24.0536,41.4106
48,281,0,-454.408,24.0536,41.4106
75,584,2,-1200.26,67.124,115.425
93,446,0,-680.863,18.3315,33.6201
86,408,6,-918.16,76.1159,192.3
21,154,2,-333.2,84.3358,155.635
74,688,0,-914.993,15.8774,21.3763
21,127,1,-297.796,106.127,230.92
121,712,0,-846.502,10.3803,15.4492
70,348,0,-502.587,15.9354,27.811
39,368,35,-737.538,96.079,163.994
62,437,0,-473.91,8.90674,12.1468
53,376,6,-904.435,137.45,278.24
75,666,2,-1438.47,88.4102,146.677
76,297,90,-851.549,1020.95,12994.5
36,343,0,-481.497,18.6397,25.3385
80,523,65,-1617.9,1016.82,3408.23
80,641,20,-1295.75,70.5392,122.054
120,703,4,-1675.68,111.176,249.607
68,451,1,-981.931,78.6358,152.079
79,518,0,-627.255,11.2377,16.2524
45,263,22,-790.398,580.269,1903.97
79,518,0,-627.255,11.2377,16.2524
122,386,7,-997.61,98.0026,428.762
55,393,0,-474.476,11.4577,16.1183
94,495,0,-860.274,28.878,54.6924
1,18,2,-37.7223,165.561,227.847
64,440,90,-1203.97,809.342,2753.62
69,424,0,-586.904,15.5051,24.2219
54,248,0,-413.229,23.351,46.3707
65,360,5,-606.677,27.8272,51.1623
26,132,2,-334.934,140.285,377.062
32,180,0,-340.806,40.5111,78.2285
22,121,27,-345.167,945.309,4698.77
47,356,18,-815.662,131.402,258.941
52,464,0,-1176.53,190.59,343.264
28,151,1,-367.792,116.479,283.105
53,330,2,-737.955,86.4746,177.771
80,520,9,-1228.85,120.027,253.981
74,688,0,-914.993,15.8774,21.3763
29,159,0,-341.356,65.4221,140.247
57,386,0,-884.405,99.1743,195.526
100,464,9,-1013.82,67.0975,169.114
54,546,0,-529.493,7.62935,9.32753
74,606,0,-662.001,9.40871,12.3712
70,448,2,-946.82,68.3789,132.713
47,396,8,-868.593,99.258,173.237
55,393,0,-474.476,11.4577,16.1183
49,481,4,-1038.48,94.2539,150.352
90,579,12,-1366.92,120.377,257.506
45,365,3,-911.535,173.638,329.651
30,199,1,-353.228,35.4198,60.8107
121,712,0,-846.502,10.3803,15.4492
35,189,0,-339.53,32.7913,62.5828
28,133,0,-243.348,32.4696,67.5589
35,229,57,-617.918,966.295,3913.32
83,577,0,-590.69,7.85208,10.5615
74,606,0,-662.001,9.40871,12.3712
30,169,28,-565.31,2022.58,10216.2
131,665,20,-1506.16,87.2827,216.338
41,208,55,-602.643,1277.64,8686.53
35,195,0,-255.158,12.8642,20.3471
69,415,0,-643.855,21.3933,35.6006
49,254,3,-581.846,86.9936,208.023
83,577,0,-590.69,7.85208,10.5615
62,353,36,-1056.52,613.257,2152.09
62,382,2,-592.526,21.9057,36.2476
37,203,35,-648.744,1460.85,7270.61
24,186,30,-558.535,1267.57,3804.97
86,586,0,-640.656,8.98167,12.3957
79,657,4,-1618.17,162.411,300.646
43,393,1,-812.759,73.8605,118.404
26,151,4,-346.518,100.692,227.649
59,410,0,-935.007,98.5415,190.768
86,586,0,-640.656,8.98167,12.3957
101,552,5,-1259.09,87.7074,200.357
74,606,0,-662.001,9.40871,12.3712
186,1157,100,-2822.76,186.604,468.311
35,195,0,-255.158,12.8642,20.3471
57,300,0,-481.698,22.3509,40.333
36,315,2,-642.139,69.1737,112.607
26,132,0,-239.69,32.8869,65.438
54,546,0,-529.493,7.62935,9.32753
100,494,0,-785.509,21.009,38.9133
92,413,14,-811.219,44.8929,107.927
69,424,0,-586.904,15.5051,24.2219
