sentences,words,OOV,logprob,ppl,ppl1
91,575,127,-1634.24,1076.45,4444.94
59,471,78,-1390.92,1194.7,3461.28
80,644,125,-1858.24,1265.43,3805.63
106,550,73,-1747.39,993.667,4605.68
58,253,27,-808.69,703.885,3786.83
58,406,40,-1361.04,1621.82,5232.29
91,560,146,-1438.98,707.082,2990.9
21,122,45,-275.655,649.846,3801.37
81,685,55,-2037.14,733.122,1712.21
72,582,132,-1556.36,958.359,2874.57
81,646,176,-1872.44,2501.84,9636.44
76,694,59,-2040.46,741.044,1634.26
75,521,88,-1532.68,1040.12,3464.77
83,531,108,-1407.16,603.886,2121.42
94,614,159,-1662.6,1067.6,4508.78
59,382,103,-909.689,491.345,1821.93
76,607,136,-1547.84,675.606,1933.25
51,400,33,-1248.79,971.687,2527.47
44,427,95,-1127.19,995.022,2483.91
45,355,8,-1163.84,931.057,2259.45
55,468,148,-1087.16,792.658,2496.7
84,639,83,-1974.75,1217.72,3562.14
54,504,77,-1439.9,985.264,2355.75
112,880,165,-2574.15,1296.09,3982.99
50,368,30,-1212.06,1330.01,3854.45
62,536,60,-1619.77,1024.98,2528.54
68,547,66,-1646.12,996.305,2644.12
61,563,99,-1545.01,876.739,2136.76
75,504,163,-1178.75,681.603,2862.48
82,773,96,-2337.79,1202.51,2838.96
62,585,73,-1713.46,966.327,2221.28
86,654,95,-2012.19,1317.25,3977.58
58,332,15,-1020.29,525.737,1654.15
56,472,85,-1346.37,1094.51,3013.04
70,627,80,-1809.25,855.731,2030.44
63,537,59,-1587.31,859.073,2092.82
50,394,29,-1275.63,1185.26,3125.25
35,384,53,-1099.02,1006.42,2090.71
35,237,84,-557.789,926.745,4422.59
11,76,21,-207.218,1379.33,5856.01
66,432,129,-1072.75,807.581,3470.84
68,595,106,-1594.29,728.258,1821.01
103,759,115,-2347.61,1389.05,4419.34
62,564,79,-1682.56,1191.17,2945.73
76,557,95,-1679.06,1321.08,4308.54
81,643,100,-1890.66,1071.27,3033
72,749,109,-2166.98,1105.37,2431.66
73,542,78,-1691.39,1411.59,4418.19
58,402,68,-1195.49,1121.32,3795.96
84,838,142,-2358.02,1054.62,2443.17
85,638,77,-1989.15,1200,3513.38
52,418,32,-1307.9,968.438,2445.35
17,147,37,-393.543,1255.35,3781.5
25,209,20,-653.326,1129.6,2862.54
32,331,67,-937.588,1470.71,3560.17
29,231,34,-759.414,2292.12,7159.66
66,390,43,-1232.5,964.431,3563.56
40,443,104,-1122.25,914.299,2043.99
70,457,49,-1402.56,859.453,2739.32
53,448,148,-1031.31,834.733,2739.6
67,637,103,-1865.01,1268.19,3108.39
98,647,51,-2103.48,1073.86,3383.19
95,804,105,-2416.57,1105.45,2865.39
64,511,79,-1522.79,1175.31,3349.56
60,435,52,-1334.22,1027.48,3045.02
73,639,184,-1496.25,682.031,1942.94
38,320,59,-886.693,923.696,2496.27
74,692,148,-1898.09,1178.55,3084.2
71,689,136,-1890.66,1071.29,2623.72
78,640,92,-1945.81,1283.3,3554.31
86,672,193,-1607.08,698.849,2264.99
49,312,104,-693.777,500.635,2165.04
60,609,100,-1790.27,1400.71,3290.29
47,375,43,-1062.08,634.348,1581.4
35,189,11,-617.053,788.791,2928.12
46,240,20,-752.448,674.144,2631.59
74,481,59,-1388.99,631.526,1956.39
86,586,16,-1858.71,681.384,1823.42
59,438,23,-1409.93,943.057,2497.03
45,350,37,-1098.72,1172.36,3238.17
121,712,128,-2032.01,762.576,3016.26
51,266,72,-662.196,504.474,2590.47
75,417,24,-1292.69,578.297,1946.61
70,399,14,-1302.6,729.214,2417.54
107,665,54,-1899.18,441.666,1283.25
54,248,145,-579.241,4891.4,420436
32,173,101,-393.252,6043.2,289621
70,348,13,-1248.3,1208.43,5324.34
30,208,32,-588.002,715.12,2192.4
58,503,46,-1404.98,534.714,1186.75
26,116,79,-219.256,3021.7,843013
39,322,32,-926.209,653.471,1562.52
64,275,48,-834.563,737.757,4747.75
29,160,117,-243.145,2382.4,451375
45,250,26,-789.874,863.646,3359.11
35,256,18,-749.24,555.224,1406.26
35,195,7,-678.106,1098.59,4045.28
56,516,148,-1290.99,1108.6,3221.9
56,329,196,-624.663,2018.81,49741
59,308,48,-990.842,1276.69,6470.38
29,218,6,-679.277,658.53,1600.06
100,494,86,-1549.94,1124.76,6293.15
43,327,215,-639.039,13268.9,507818
48,281,133,-763.574,7866.54,144305
48,281,133,-763.574,7866.54,144305
75,584,84,-1741.09,1066.54,3035.1
93,446,322,-737.856,2513.37,892175
86,408,40,-1265.79,613.877,2751.97
21,154,12,-476.291,835.665,2260.29
74,688,75,-1925.55,635.098,1384.18
21,127,10,-377.647,545.22,1689.47
121,712,128,-2032.01,762.576,3016.26
70,348,13,-1248.3,1208.43,5324.34
39,368,60,-972.007,632.664,1431.75
62,437,66,-1232.24,701.157,2096.02
53,376,32,-1168.64,878.347,2495.72
