0 zeroprobs, logprob= -1577.72 ppl= 108.586 ppl1= 183.482
file lyrics-kanye-west/song_82.txt: 19 sentences, 142 words, 0 OOVs
0 zeroprobs, logprob= -323.457 ppl= 102.106 ppl1= 189.612
file lyrics-kanye-west/song_83.txt: 78 sentences, 704 words, 0 OOVs
0 zeroprobs, logprob= -1675.8 ppl= 138.986 ppl1= 240.105
file lyrics-kanye-west/song_84.txt: 9 sentences, 77 words, 0 OOVs
0 zeroprobs, logprob= -188.947 ppl= 157.42 ppl1= 284.355
file lyrics-kanye-west/song_85.txt: 69 sentences, 537 words, 0 OOVs
0 zeroprobs, logprob= -1212.92 ppl= 100.349 ppl1= 181.423
file lyrics-kanye-west/song_86.txt: 56 sentences, 436 words, 0 OOVs
0 zeroprobs, logprob= -910.707 ppl= 70.9628 ppl1= 122.681
file lyrics-kanye-west/song_87.txt: 61 sentences, 528 words, 0 OOVs
0 zeroprobs, logprob= -1154.47 ppl= 91.2133 ppl1= 153.64
file lyrics-kanye-west/song_88.txt: 76 sentences, 538 words, 0 OOVs
0 zeroprobs, logprob= -1363.76 ppl= 166.383 ppl1= 342.666
file lyrics-kanye-west/song_89.txt: 85 sentences, 701 words, 0 OOVs
0 zeroprobs, logprob= -1505.9 ppl= 82.3948 ppl1= 140.674
file lyrics-kanye-west/song_90.txt: 61 sentences, 538 words, 0 OOVs
0 zeroprobs, logprob= -1206.61 ppl= 103.363 ppl1= 174.888
file lyrics-kanye-west/song_91.txt: 88 sentences, 657 words, 0 OOVs
0 zeroprobs, logprob= -1698.61 ppl= 190.549 ppl1= 384.943
file lyrics-kanye-west/song_92.txt: 45 sentences, 368 words, 0 OOVs
0 zeroprobs, logprob= -869.873 ppl= 127.711 ppl1= 231.092
file lyrics-kanye-west/song_93.txt: 87 sentences, 663 words, 0 OOVs
0 zeroprobs, logprob= -1356.43 ppl= 64.354 ppl1= 111.148
file lyrics-kanye-west/song_94.txt: 42 sentences, 412 words, 0 OOVs
0 zeroprobs, logprob= -919.519 ppl= 106.016 ppl1= 170.546
file lyrics-kanye-west/song_95.txt: 66 sentences, 393 words, 0 OOVs
0 zeroprobs, logprob= -946.776 ppl= 115.53 ppl1= 256.507
file lyrics-kanye-west/song_96.txt: 75 sentences, 492 words, 0 OOVs
0 zeroprobs, logprob= -1189.59 ppl= 125.328 ppl1= 261.741
file lyrics-kanye-west/song_97.txt: 66 sentences, 469 words, 0 OOVs
0 zeroprobs, logprob= -1144.44 ppl= 137.766 ppl1= 275.532
file lyrics-kanye-west/song_98.txt: 63 sentences, 661 words, 0 OOVs
0 zeroprobs, logprob= -1629.4 ppl= 178.057 ppl1= 291.783
file lyrics-kanye-west/song_99.txt: 21 sentences, 184 words, 0 OOVs
0 zeroprobs, logprob= -391.282 ppl= 81.039 ppl1= 133.824
file lyrics-kanye-west/song_100.txt: 48 sentences, 435 words, 0 OOVs
0 zeroprobs, logprob= -993.579 ppl= 114.051 ppl1= 192.348
file lyrics-kanye-west/song_101.txt: 147 sentences, 901 words, 0 OOVs
0 zeroprobs, logprob= -1921.14 ppl= 68.0997 ppl1= 135.59
file lyrics-kanye-west/song_102.txt: 69 sentences, 546 words, 0 OOVs
0 zeroprobs, logprob= -1320.52 ppl= 140.34 ppl1= 262.138
file lyrics-kanye-west/song_103.txt: 95 sentences, 843 words, 0 OOVs
0 zeroprobs, logprob= -1858.28 ppl= 95.7431 ppl1= 160.09
file lyrics-kanye-west/song_104.txt: 84 sentences, 701 words, 0 OOVs
0 zeroprobs, logprob= -1536.41 ppl= 90.6181 ppl1= 155.506
file lyrics-kanye-west/song_105.txt: 19 sentences, 91 words, 0 OOVs
0 zeroprobs, logprob= -216.733 ppl= 93.3908 ppl1= 240.816
file lyrics-kanye-west/song_106.txt: 99 sentences, 1052 words, 0 OOVs
0 zeroprobs, logprob= -2129.68 ppl= 70.8407 ppl1= 105.781
file lyrics-kanye-west/song_107.txt: 90 sentences, 797 words, 0 OOVs
0 zeroprobs, logprob= -1853.94 ppl= 123.064 ppl1= 211.911
file lyrics-kanye-west/song_108.txt: 41 sentences, 402 words, 0 OOVs
0 zeroprobs, logprob= -984.941 ppl= 167.241 ppl1= 281.905
file lyrics-kanye-west/song_109.txt: 49 sentences, 424 words, 0 OOVs
0 zeroprobs, logprob= -865.626 ppl= 67.6202 ppl1= 110.045
file lyrics-kanye-west/song_110.txt: 46 sentences, 458 words, 0 OOVs
0 zeroprobs, logprob= -1077.74 ppl= 137.521 ppl1= 225.497
file lyrics-kanye-west/song_111.txt: 31 sentences, 238 words, 0 OOVs
0 zeroprobs, logprob= -605.268 ppl= 177.856 ppl1= 349.256
file lyrics-kanye-west/song_112.txt: 47 sentences, 433 words, 0 OOVs
0 zeroprobs, logprob= -985.971 ppl= 113.268 ppl1= 189.265
file lyrics-kanye-west/song_113.txt: 117 sentences, 718 words, 0 OOVs
0 zeroprobs, logprob= -1664.05 ppl= 98.3717 ppl1= 207.785
file lyrics-kanye-west/song_114.txt: 15 sentences, 486 words, 0 OOVs
0 zeroprobs, logprob= -1130.81 ppl= 180.765 ppl1= 212.216
file lyrics-kanye-west/song_115.txt: 69 sentences, 474 words, 0 OOVs
0 zeroprobs, logprob= -1120.08 ppl= 115.547 ppl1= 230.692
file lyrics-kanye-west/song_116.txt: 80 sentences, 637 words, 0 OOVs
0 zeroprobs, logprob= -1465.72 ppl= 110.724 ppl1= 199.974
file lyrics-kanye-west/song_117.txt: 66 sentences, 644 words, 0 OOVs
0 zeroprobs, logprob= -1483.01 ppl= 122.673 ppl1= 200.823
file lyrics-kanye-west/song_118.txt: 78 sentences, 697 words, 0 OOVs
0 zeroprobs, logprob= -1577.72 ppl= 108.586 ppl1= 183.482
file lyrics-kanye-west/song_119.txt: 69 sentences, 560 words, 0 OOVs
0 zeroprobs, logprob= -1239.07 ppl= 93.3036 ppl1= 163.162
file lyrics-kanye-west/song_120.txt: 90 sentences, 636 words, 0 OOVs
0 zeroprobs, logprob= -1628.48 ppl= 175.018 ppl1= 363.495
file lyrics-kanye-west/song_121.txt: 85 sentences, 611 words, 0 OOVs
0 zeroprobs, logprob= -1410.87 ppl= 106.441 ppl1= 203.756
file lyrics-kanye-west/song_122.txt: 83 sentences, 642 words, 0 OOVs
0 zeroprobs, logprob= -1448.84 ppl= 99.6308 ppl1= 180.615
file lyrics-kanye-west/song_123.txt: 77 sentences, 580 words, 0 OOVs
0 zeroprobs, logprob= -1300.73 ppl= 95.4556 ppl1= 174.839
file lyrics-kanye-west/song_124.txt: 64 sentences, 496 words, 0 OOVs
0 zeroprobs, logprob= -1140.93 ppl= 108.987 ppl1= 199.646
file lyrics-kanye-west/song_125.txt: 74 sentences, 652 words, 0 OOVs
0 zeroprobs, logprob= -1506.1 ppl= 118.718 ppl1= 204.158
file lyrics-kanye-west/song_126.txt: 81 sentences, 658 words, 0 OOVs
0 zeroprobs, logprob= -1350.43 ppl= 67.2016 ppl1= 112.806
file lyrics-kanye-west/song_127.txt: 8 sentences, 41 words, 0 OOVs
0 zeroprobs, logprob= -106.844 ppl= 151.529 ppl1= 403.608
file lyrics-kanye-west/song_128.txt: 109 sentences, 1065 words, 0 OOVs
0 zeroprobs, logprob= -2394.92 ppl= 109.639 ppl1= 177.316
file lyrics-kanye-west/song_129.txt: 105 sentences, 601 words, 0 OOVs
0 zeroprobs, logprob= -1337.04 ppl= 78.3102 ppl1= 167.759
file lyrics-kanye-west/song_130.txt: 22 sentences, 202 words, 0 OOVs
0 zeroprobs, logprob= -456.788 ppl= 109.454 ppl1= 182.527
