file lyrics-kanye-west/song_117.txt: 66 sentences, 644 words, 0 OOVs
0 zeroprobs, logprob= -1385.21 ppl= 89.3292 ppl1= 141.56
file lyrics-kanye-west/song_118.txt: 78 sentences, 697 words, 0 OOVs
0 zeroprobs, logprob= -1423.18 ppl= 68.6065 ppl1= 110.121
file lyrics-kanye-west/song_119.txt: 69 sentences, 560 words, 0 OOVs
0 zeroprobs, logprob= -1115.57 ppl= 59.3695 ppl1= 98.1955
file lyrics-kanye-west/song_120.txt: 90 sentences, 636 words, 0 OOVs
0 zeroprobs, logprob= -1495.65 ppl= 114.848 ppl1= 224.724
file lyrics-kanye-west/song_121.txt: 85 sentences, 611 words, 0 OOVs
0 zeroprobs, logprob= -1274.32 ppl= 67.7522 ppl1= 121.796
file lyrics-kanye-west/song_122.txt: 83 sentences, 642 words, 0 OOVs
0 zeroprobs, logprob= -1364.54 ppl= 76.2294 ppl1= 133.49
file lyrics-kanye-west/song_123.txt: 77 sentences, 580 words, 0 OOVs
0 zeroprobs, logprob= -1192.52 ppl= 65.3275 ppl1= 113.78
file lyrics-kanye-west/song_124.txt: 64 sentences, 496 words, 0 OOVs
0 zeroprobs, logprob= -1063.37 ppl= 79.226 ppl1= 139.278
file lyrics-kanye-west/song_125.txt: 74 sentences, 652 words, 0 OOVs
0 zeroprobs, logprob= -1374.35 ppl= 78.1716 ppl1= 128.205
file lyrics-kanye-west/song_126.txt: 81 sentences, 658 words, 0 OOVs
0 zeroprobs, logprob= -1210.42 ppl= 43.4427 ppl1= 69.1106
file lyrics-kanye-west/song_127.txt: 8 sentences, 41 words, 0 OOVs
0 zeroprobs, logprob= -96.3271 ppl= 92.4398 ppl1= 223.584
file lyrics-kanye-west/song_128.txt: 109 sentences, 1065 words, 0 OOVs
0 zeroprobs, logprob= -2234.06 ppl= 79.9741 ppl1= 125.231
file lyrics-kanye-west/song_129.txt: 105 sentences, 601 words, 0 OOVs
0 zeroprobs, logprob= -1264.83 ppl= 61.8798 ppl1= 127.218
file lyrics-kanye-west/song_130.txt: 22 sentences, 202 words, 0 OOVs
0 zeroprobs, logprob= -439.914 ppl= 92.0243 ppl1= 150.589
file lyrics-kanye-west/song_131.txt: 121 sentences, 780 words, 0 OOVs
0 zeroprobs, logprob= -1754.31 ppl= 88.5266 ppl1= 177.468
file lyrics-kanye-west/song_132.txt: 22 sentences, 164 words, 0 OOVs
0 zeroprobs, logprob= -377.228 ppl= 106.686 ppl1= 199.604
file lyrics-kanye-west/song_133.txt: 87 sentences, 546 words, 0 OOVs
0 zeroprobs, logprob= -1278.07 ppl= 104.487 ppl1= 219.169
file lyrics-kanye-west/song_134.txt: 74 sentences, 607 words, 0 OOVs
