file rapsongs/song_76.txt: 130 sentences, 918 words, 0 OOVs
0 zeroprobs, logprob= -2135.01 ppl= 108.949 ppl1= 211.699
file rapsongs/song_77.txt: 51 sentences, 416 words, 0 OOVs
0 zeroprobs, logprob= -1065.83 ppl= 191.549 ppl1= 364.821
file rapsongs/song_78.txt: 68 sentences, 681 words, 0 OOVs
0 zeroprobs, logprob= -1339.96 ppl= 61.5173 ppl1= 92.8184
file rapsongs/song_79.txt: 65 sentences, 640 words, 0 OOVs
0 zeroprobs, logprob= -1373.93 ppl= 88.8865 ppl1= 140.205
file rapsongs/song_80.txt: 77 sentences, 653 words, 0 OOVs
0 zeroprobs, logprob= -1523.68 ppl= 122.245 ppl1= 215.453
file rapsongs/song_81.txt: 94 sentences, 669 words, 0 OOVs
0 zeroprobs, logprob= -1491.19 ppl= 90.0292 ppl1= 169.43
file rapsongs/song_82.txt: 121 sentences, 991 words, 0 OOVs
0 zeroprobs, logprob= -2288.39 ppl= 114.263 ppl1= 203.786
file rapsongs/song_83.txt: 71 sentences, 600 words, 0 OOVs
0 zeroprobs, logprob= -1421.62 ppl= 131.42 ppl1= 234.082
file rapsongs/song_84.txt: 59 sentences, 506 words, 0 OOVs
0 zeroprobs, logprob= -1132.45 ppl= 101.004 ppl1= 173.001
file rapsongs/song_85.txt: 113 sentences, 970 words, 0 OOVs
0 zeroprobs, logprob= -2185.81 ppl= 104.302 ppl1= 179.231
file rapsongs/song_86.txt: 75 sentences, 675 words, 0 OOVs
0 zeroprobs, logprob= -1460.56 ppl= 88.595 ppl1= 145.81
file rapsongs/song_87.txt: 81 sentences, 642 words, 0 OOVs
0 zeroprobs, logprob= -1522.35 ppl= 127.527 ppl1= 235.105
file rapsongs/song_88.txt: 1 sentences, 18 words, 0 OOVs
0 zeroprobs, logprob= -31.5126 ppl= 45.557 ppl1= 56.3245
file rapsongs/song_89.txt: 47 sentences, 466 words, 0 OOVs
0 zeroprobs, logprob= -1108.6 ppl= 144.884 ppl1= 239.32
file rapsongs/song_90.txt: 75 sentences, 415 words, 0 OOVs
0 zeroprobs, logprob= -979.466 ppl= 99.7493 ppl1= 229.17
file rapsongs/song_91.txt: 61 sentences, 555 words, 0 OOVs
0 zeroprobs, logprob= -1339.35 ppl= 149.375 ppl1= 258.972
file rapsongs/song_92.txt: 73 sentences, 676 words, 0 OOVs
0 zeroprobs, logprob= -1360.92 ppl= 65.6126 ppl1= 103.086
file rapsongs/song_93.txt: 67 sentences, 601 words, 0 OOVs
0 zeroprobs, logprob= -1435.44 ppl= 140.882 ppl1= 244.576
file rapsongs/song_94.txt: 97 sentences, 861 words, 0 OOVs
